Toothbrush ID,Village ID,Date,Number of Times Brushed,Total Time Brushed (s)
toothbrush2,village2,2023-02-12,1,113
toothbrush2,village2,2023-02-13,1,108
toothbrush2,village2,2023-02-14,0,0
toothbrush2,village2,2023-02-15,0,0
toothbrush2,village2,2023-02-16,1,118
toothbrush2,village2,2023-02-17,2,197
toothbrush2,village2,2023-02-18,2,162
toothbrush2,village2,2023-02-19,2,115
toothbrush2,village2,2023-02-20,1,40
toothbrush2,village2,2023-02-21,1,47
toothbrush2,village2,2023-02-22,1,86
toothbrush2,village2,2023-02-23,2,142
toothbrush2,village2,2023-02-24,1,86
toothbrush2,village2,2023-02-25,1,67
toothbrush2,village2,2023-02-26,0,0
toothbrush2,village2,2023-02-27,2,134
toothbrush2,village2,2023-02-28,2,203
toothbrush2,village2,2023-03-01,2,144
toothbrush2,village2,2023-03-02,1,109
toothbrush2,village2,2023-03-03,2,182
toothbrush2,village2,2023-03-04,2,88
toothbrush2,village2,2023-03-05,1,101
toothbrush2,village2,2023-03-06,0,0
toothbrush2,village2,2023-03-07,2,126
toothbrush2,village2,2023-03-08,2,155
toothbrush2,village2,2023-03-09,1,115
toothbrush2,village2,2023-03-10,0,0
toothbrush2,village2,2023-03-11,0,0
toothbrush2,village2,2023-03-12,0,0
toothbrush2,village2,2023-03-13,0,0
toothbrush2,village2,2023-03-14,0,0
toothbrush2,village2,2023-03-15,0,0
toothbrush2,village2,2023-03-16,1,79
toothbrush2,village2,2023-03-17,1,111
toothbrush2,village2,2023-03-18,0,0
toothbrush2,village2,2023-03-19,1,115
toothbrush2,village2,2023-03-20,0,0
toothbrush2,village2,2023-03-21,2,122
toothbrush2,village2,2023-03-22,1,104
toothbrush2,village2,2023-03-23,1,93
toothbrush2,village2,2023-03-24,2,221
toothbrush2,village2,2023-03-25,0,0
toothbrush2,village2,2023-03-26,1,84
toothbrush2,village2,2023-03-27,2,182
toothbrush2,village2,2023-03-28,1,112
toothbrush2,village2,2023-03-29,1,50
toothbrush2,village2,2023-03-30,0,0
toothbrush2,village2,2023-03-31,0,0
toothbrush2,village2,2023-04-01,1,105
toothbrush2,village2,2023-04-02,0,0
toothbrush2,village2,2023-04-03,1,51
toothbrush2,village2,2023-04-04,2,187
toothbrush2,village2,2023-04-05,2,212
toothbrush2,village2,2023-04-06,0,0
toothbrush2,village2,2023-04-07,0,0
toothbrush2,village2,2023-04-08,0,0
toothbrush2,village2,2023-04-09,1,91
toothbrush2,village2,2023-04-10,1,86
toothbrush2,village2,2023-04-11,1,52
toothbrush2,village2,2023-04-12,1,35
toothbrush2,village2,2023-04-13,0,0
toothbrush2,village2,2023-04-14,0,0
toothbrush2,village2,2023-04-15,1,96
toothbrush2,village2,2023-04-16,2,135
toothbrush2,village2,2023-04-17,2,140
toothbrush2,village2,2023-04-18,2,159
toothbrush2,village2,2023-04-19,1,86
toothbrush2,village2,2023-04-20,1,30
toothbrush2,village2,2023-04-21,1,43
toothbrush2,village2,2023-04-22,2,168
toothbrush2,village2,2023-04-23,2,182
toothbrush2,village2,2023-04-24,0,0
toothbrush2,village2,2023-04-25,2,154
toothbrush2,village2,2023-04-26,2,177
toothbrush2,village2,2023-04-27,1,100
toothbrush2,village2,2023-04-28,0,0
toothbrush2,village2,2023-04-29,1,84
toothbrush2,village2,2023-04-30,0,0
toothbrush2,village2,2023-05-01,0,0
toothbrush2,village2,2023-05-02,1,108
toothbrush2,village2,2023-05-03,1,57
toothbrush2,village2,2023-05-04,1,112
toothbrush2,village2,2023-05-05,2,145
toothbrush2,village2,2023-05-06,0,0
toothbrush2,village2,2023-05-07,2,137
toothbrush2,village2,2023-05-08,1,83
toothbrush2,village2,2023-05-09,0,0
toothbrush2,village2,2023-05-10,0,0
toothbrush2,village2,2023-05-11,0,0
toothbrush2,village2,2023-05-12,2,183
toothbrush2,village2,2023-05-13,2,118
toothbrush2,village2,2023-05-14,2,178
toothbrush2,village2,2023-05-15,0,0
toothbrush2,village2,2023-05-16,1,54
toothbrush2,village2,2023-05-17,1,43
toothbrush2,village2,2023-05-18,2,190
toothbrush2,village2,2023-05-19,1,66
toothbrush2,village2,2023-05-20,0,0
toothbrush2,village2,2023-05-21,1,106
toothbrush2,village2,2023-05-22,2,134
toothbrush2,village2,2023-05-23,1,84
toothbrush2,village2,2023-05-24,1,53
toothbrush2,village2,2023-05-25,1,96
toothbrush2,village2,2023-05-26,1,81
toothbrush2,village2,2023-05-27,0,0
toothbrush2,village2,2023-05-28,0,0
toothbrush2,village2,2023-05-29,0,0
toothbrush2,village2,2023-05-30,2,147
toothbrush2,village2,2023-05-31,0,0
toothbrush2,village2,2023-06-01,2,183
toothbrush2,village2,2023-06-02,1,113
toothbrush2,village2,2023-06-03,2,211
toothbrush2,village2,2023-06-04,1,112
toothbrush2,village2,2023-06-05,0,0
toothbrush2,village2,2023-06-06,2,183
toothbrush2,village2,2023-06-07,2,156
toothbrush2,village2,2023-06-08,2,212
toothbrush2,village2,2023-06-09,2,149
toothbrush2,village2,2023-06-10,1,33
toothbrush2,village2,2023-06-11,0,0
toothbrush2,village2,2023-06-12,2,149
toothbrush2,village2,2023-06-13,0,0
toothbrush2,village2,2023-06-14,0,0
toothbrush2,village2,2023-06-15,1,100
toothbrush2,village2,2023-06-16,2,162
toothbrush2,village2,2023-06-17,1,106
toothbrush2,village2,2023-06-18,2,182
toothbrush2,village2,2023-06-19,1,30
toothbrush2,village2,2023-06-20,1,97
toothbrush2,village2,2023-06-21,2,146
toothbrush2,village2,2023-06-22,2,179
toothbrush2,village2,2023-06-23,2,110
toothbrush2,village2,2023-06-24,2,107
toothbrush2,village2,2023-06-25,2,152
toothbrush2,village2,2023-06-26,0,0
toothbrush2,village2,2023-06-27,1,42
toothbrush2,village2,2023-06-28,2,159
toothbrush2,village2,2023-06-29,2,125
toothbrush3,village2,2023-01-01,1,58
toothbrush3,village2,2023-01-02,2,220
toothbrush3,village2,2023-01-03,0,0
toothbrush3,village2,2023-01-04,0,0
toothbrush3,village2,2023-01-05,0,0
toothbrush3,village2,2023-01-06,0,0
toothbrush3,village2,2023-01-07,2,198
toothbrush3,village2,2023-01-08,1,57
toothbrush3,village2,2023-01-09,0,0
toothbrush3,village2,2023-01-10,2,180
toothbrush3,village2,2023-01-11,2,132
toothbrush3,village2,2023-01-12,2,212
toothbrush3,village2,2023-01-13,2,147
toothbrush3,village2,2023-01-14,1,48
toothbrush3,village2,2023-01-15,0,0
toothbrush3,village2,2023-01-16,1,48
toothbrush3,village2,2023-01-17,1,32
toothbrush3,village2,2023-01-18,0,0
toothbrush3,village2,2023-01-19,1,96
toothbrush3,village2,2023-01-20,1,71
toothbrush3,village2,2023-01-21,2,194
toothbrush3,village2,2023-01-22,0,0
toothbrush3,village2,2023-01-23,1,110
toothbrush3,village2,2023-01-24,1,68
toothbrush3,village2,2023-01-25,1,56
toothbrush3,village2,2023-01-26,1,40
toothbrush3,village2,2023-01-27,2,114
toothbrush3,village2,2023-01-28,1,83
toothbrush3,village2,2023-01-29,1,70
toothbrush3,village2,2023-01-30,0,0
toothbrush3,village2,2023-01-31,2,79
toothbrush3,village2,2023-02-01,2,180
toothbrush3,village2,2023-02-02,1,52
toothbrush3,village2,2023-02-03,1,99
toothbrush3,village2,2023-02-04,0,0
toothbrush3,village2,2023-02-05,0,0
toothbrush3,village2,2023-02-06,1,82
toothbrush3,village2,2023-02-07,1,107
toothbrush3,village2,2023-02-08,0,0
toothbrush3,village2,2023-02-09,0,0
toothbrush3,village2,2023-02-10,1,43
toothbrush3,village2,2023-02-11,1,97
toothbrush3,village2,2023-02-12,1,50
toothbrush3,village2,2023-02-13,2,146
toothbrush3,village2,2023-02-14,1,41
toothbrush3,village2,2023-02-15,1,90
toothbrush3,village2,2023-02-16,0,0
toothbrush3,village2,2023-02-17,2,219
toothbrush3,village2,2023-02-18,1,64
toothbrush3,village2,2023-02-19,0,0
toothbrush3,village2,2023-02-20,0,0
toothbrush3,village2,2023-02-21,2,178
toothbrush3,village2,2023-02-22,0,0
toothbrush3,village2,2023-02-23,1,104
toothbrush3,village2,2023-02-24,0,0
toothbrush3,village2,2023-02-25,2,151
toothbrush3,village2,2023-02-26,0,0
toothbrush3,village2,2023-02-27,0,0
toothbrush3,village2,2023-02-28,2,182
toothbrush3,village2,2023-03-01,1,92
toothbrush3,village2,2023-03-02,2,167
toothbrush3,village2,2023-03-03,1,50
toothbrush3,village2,2023-03-04,0,0
toothbrush3,village2,2023-03-05,0,0
toothbrush3,village2,2023-03-06,1,89
toothbrush3,village2,2023-03-07,0,0
toothbrush3,village2,2023-03-08,0,0
toothbrush3,village2,2023-03-09,2,113
toothbrush3,village2,2023-03-10,1,54
toothbrush3,village2,2023-03-11,1,97
toothbrush3,village2,2023-03-12,1,112
toothbrush3,village2,2023-03-13,1,105
toothbrush3,village2,2023-03-14,1,30
toothbrush3,village2,2023-03-15,1,41
toothbrush3,village2,2023-03-16,2,140
toothbrush3,village2,2023-03-17,2,167
toothbrush3,village2,2023-03-18,1,75
toothbrush3,village2,2023-03-19,2,150
toothbrush3,village2,2023-03-20,0,0
toothbrush3,village2,2023-03-21,1,93
toothbrush3,village2,2023-03-22,2,91
toothbrush3,village2,2023-03-23,1,63
toothbrush3,village2,2023-03-24,0,0
toothbrush3,village2,2023-03-25,1,52
toothbrush3,village2,2023-03-26,0,0
toothbrush3,village2,2023-03-27,1,91
toothbrush3,village2,2023-03-28,1,32
toothbrush3,village2,2023-03-29,0,0
toothbrush3,village2,2023-03-30,2,150
toothbrush3,village2,2023-03-31,1,103
toothbrush3,village2,2023-04-01,1,89
toothbrush3,village2,2023-04-02,2,136
toothbrush3,village2,2023-04-03,2,144
toothbrush3,village2,2023-04-04,0,0
toothbrush3,village2,2023-04-05,0,0
toothbrush3,village2,2023-04-06,1,115
toothbrush3,village2,2023-04-07,2,142
toothbrush3,village2,2023-04-08,1,33
toothbrush3,village2,2023-04-09,0,0
toothbrush3,village2,2023-04-10,0,0
toothbrush3,village2,2023-04-11,2,180
toothbrush3,village2,2023-04-12,0,0
toothbrush3,village2,2023-04-13,2,175
toothbrush3,village2,2023-04-14,2,148
toothbrush3,village2,2023-04-15,0,0
toothbrush3,village2,2023-04-16,1,80
toothbrush3,village2,2023-04-17,2,225
toothbrush3,village2,2023-04-18,2,176
toothbrush3,village2,2023-04-19,0,0
toothbrush3,village2,2023-04-20,1,34
toothbrush3,village2,2023-04-21,1,30
toothbrush3,village2,2023-04-22,0,0
toothbrush3,village2,2023-04-23,2,149
toothbrush3,village2,2023-04-24,2,226
toothbrush3,village2,2023-04-25,2,87
toothbrush3,village2,2023-04-26,0,0
toothbrush3,village2,2023-04-27,2,130
toothbrush3,village2,2023-04-28,2,212
toothbrush3,village2,2023-04-29,1,35
toothbrush3,village2,2023-04-30,1,87
toothbrush3,village2,2023-05-01,1,104
toothbrush3,village2,2023-05-02,0,0
toothbrush3,village2,2023-05-03,2,185
toothbrush3,village2,2023-05-04,0,0
toothbrush3,village2,2023-05-05,2,204
toothbrush3,village2,2023-05-06,2,184
toothbrush3,village2,2023-05-07,0,0
toothbrush3,village2,2023-05-08,2,186
toothbrush3,village2,2023-05-09,0,0
toothbrush3,village2,2023-05-10,1,91
toothbrush3,village2,2023-05-11,1,88
toothbrush3,village2,2023-05-12,2,164
toothbrush3,village2,2023-05-13,2,208
toothbrush3,village2,2023-05-14,0,0
toothbrush3,village2,2023-05-15,0,0
toothbrush3,village2,2023-05-16,1,84
toothbrush3,village2,2023-05-17,1,55
toothbrush3,village2,2023-05-18,0,0
toothbrush3,village2,2023-05-19,0,0
toothbrush3,village2,2023-05-20,0,0
toothbrush3,village2,2023-05-21,2,208
toothbrush3,village2,2023-05-22,1,111
toothbrush3,village2,2023-05-23,0,0
toothbrush3,village2,2023-05-24,1,101
toothbrush3,village2,2023-05-25,0,0
toothbrush3,village2,2023-05-26,2,145
toothbrush3,village2,2023-05-27,2,163
toothbrush3,village2,2023-05-28,1,81
toothbrush3,village2,2023-05-29,0,0
toothbrush3,village2,2023-05-30,2,138
toothbrush3,village2,2023-05-31,0,0
toothbrush3,village2,2023-06-01,2,202
toothbrush3,village2,2023-06-02,2,136
toothbrush3,village2,2023-06-03,1,69
toothbrush3,village2,2023-06-04,0,0
toothbrush3,village2,2023-06-05,0,0
toothbrush3,village2,2023-06-06,0,0
toothbrush3,village2,2023-06-07,0,0
toothbrush3,village2,2023-06-08,1,34
toothbrush3,village2,2023-06-09,2,192
toothbrush3,village2,2023-06-10,1,64
toothbrush3,village2,2023-06-11,2,129
toothbrush3,village2,2023-06-12,0,0
toothbrush3,village2,2023-06-13,1,94
toothbrush3,village2,2023-06-14,2,158
toothbrush3,village2,2023-06-15,1,101
toothbrush3,village2,2023-06-16,1,46
toothbrush3,village2,2023-06-17,1,50
toothbrush3,village2,2023-06-18,2,177
toothbrush3,village2,2023-06-19,1,97
toothbrush3,village2,2023-06-20,1,119
toothbrush3,village2,2023-06-21,1,52
toothbrush3,village2,2023-06-22,0,0
toothbrush3,village2,2023-06-23,0,0
toothbrush3,village2,2023-06-24,0,0
toothbrush3,village2,2023-06-25,2,169
toothbrush3,village2,2023-06-26,1,44
toothbrush3,village2,2023-06-27,2,150
toothbrush3,village2,2023-06-28,0,0
toothbrush3,village2,2023-06-29,0,0
toothbrush4,village2,2023-01-01,1,118
toothbrush4,village2,2023-01-02,0,0
toothbrush4,village2,2023-01-03,0,0
toothbrush4,village2,2023-01-04,0,0
toothbrush4,village2,2023-01-05,2,161
toothbrush4,village2,2023-01-06,2,152
toothbrush4,village2,2023-01-07,0,0
toothbrush4,village2,2023-01-08,2,78
toothbrush4,village2,2023-01-09,2,172
toothbrush4,village2,2023-01-10,0,0
toothbrush4,village2,2023-01-11,1,98
toothbrush4,village2,2023-01-12,1,61
toothbrush4,village2,2023-01-13,1,73
toothbrush4,village2,2023-01-14,0,0
toothbrush4,village2,2023-01-15,1,46
toothbrush4,village2,2023-01-16,0,0
toothbrush4,village2,2023-01-17,1,120
toothbrush4,village2,2023-01-18,1,64
toothbrush4,village2,2023-01-19,2,90
toothbrush4,village2,2023-01-20,2,208
toothbrush4,village2,2023-01-21,1,118
toothbrush4,village2,2023-01-22,1,65
toothbrush4,village2,2023-01-23,2,203
toothbrush4,village2,2023-01-24,2,172
toothbrush4,village2,2023-01-25,0,0
toothbrush4,village2,2023-01-26,1,74
toothbrush4,village2,2023-01-27,2,115
toothbrush4,village2,2023-01-28,2,112
toothbrush4,village2,2023-01-29,2,118
toothbrush4,village2,2023-01-30,1,36
toothbrush4,village2,2023-01-31,2,128
toothbrush4,village2,2023-02-01,0,0
toothbrush4,village2,2023-02-02,1,36
toothbrush4,village2,2023-02-03,0,0
toothbrush4,village2,2023-02-04,2,142
toothbrush4,village2,2023-02-05,2,134
toothbrush4,village2,2023-02-06,0,0
toothbrush4,village2,2023-02-07,2,214
toothbrush4,village2,2023-02-08,2,130
toothbrush4,village2,2023-02-09,1,43
toothbrush4,village2,2023-02-10,0,0
toothbrush4,village2,2023-02-11,2,142
toothbrush4,village2,2023-02-12,2,162
toothbrush4,village2,2023-02-13,1,44
toothbrush4,village2,2023-02-14,0,0
toothbrush4,village2,2023-02-15,2,210
toothbrush4,village2,2023-02-16,0,0
toothbrush4,village2,2023-02-17,0,0
toothbrush4,village2,2023-02-18,1,72
toothbrush4,village2,2023-02-19,0,0
toothbrush4,village2,2023-02-20,0,0
toothbrush4,village2,2023-02-21,0,0
toothbrush4,village2,2023-02-22,1,54
toothbrush4,village2,2023-02-23,0,0
toothbrush4,village2,2023-02-24,2,209
toothbrush4,village2,2023-02-25,1,116
toothbrush4,village2,2023-02-26,1,96
toothbrush4,village2,2023-02-27,2,144
toothbrush4,village2,2023-02-28,2,158
toothbrush4,village2,2023-03-01,2,136
toothbrush4,village2,2023-03-02,0,0
toothbrush4,village2,2023-03-03,0,0
toothbrush4,village2,2023-03-04,0,0
toothbrush4,village2,2023-03-05,0,0
toothbrush4,village2,2023-03-06,2,105
toothbrush4,village2,2023-03-07,0,0
toothbrush4,village2,2023-03-08,0,0
toothbrush4,village2,2023-03-09,1,39
toothbrush4,village2,2023-03-10,0,0
toothbrush4,village2,2023-03-11,1,82
toothbrush4,village2,2023-03-12,0,0
toothbrush4,village2,2023-03-13,0,0
toothbrush4,village2,2023-03-14,0,0
toothbrush4,village2,2023-03-15,2,79
toothbrush4,village2,2023-03-16,1,82
toothbrush4,village2,2023-03-17,0,0
toothbrush4,village2,2023-03-18,0,0
toothbrush4,village2,2023-03-19,1,91
toothbrush4,village2,2023-03-20,1,36
toothbrush4,village2,2023-03-21,0,0
toothbrush4,village2,2023-03-22,1,120
toothbrush4,village2,2023-03-23,2,178
toothbrush4,village2,2023-03-24,0,0
toothbrush4,village2,2023-03-25,0,0
toothbrush4,village2,2023-03-26,2,92
toothbrush4,village2,2023-03-27,1,74
toothbrush4,village2,2023-03-28,0,0
toothbrush4,village2,2023-03-29,1,79
toothbrush4,village2,2023-03-30,0,0
toothbrush4,village2,2023-03-31,2,163
toothbrush4,village2,2023-04-01,0,0
toothbrush4,village2,2023-04-02,2,98
toothbrush4,village2,2023-04-03,0,0
toothbrush4,village2,2023-04-04,1,38
toothbrush4,village2,2023-04-05,0,0
toothbrush4,village2,2023-04-06,2,126
toothbrush4,village2,2023-04-07,0,0
toothbrush4,village2,2023-04-08,1,67
toothbrush4,village2,2023-04-09,1,39
toothbrush4,village2,2023-04-10,1,92
toothbrush4,village2,2023-04-11,1,80
toothbrush4,village2,2023-04-12,2,107
toothbrush4,village2,2023-04-13,2,217
toothbrush4,village2,2023-04-14,2,96
toothbrush4,village2,2023-04-15,0,0
toothbrush4,village2,2023-04-16,0,0
toothbrush4,village2,2023-04-17,2,130
toothbrush4,village2,2023-04-18,0,0
toothbrush4,village2,2023-04-19,2,146
toothbrush4,village2,2023-04-20,0,0
toothbrush4,village2,2023-04-21,2,216
toothbrush4,village2,2023-04-22,2,142
toothbrush4,village2,2023-04-23,0,0
toothbrush4,village2,2023-04-24,1,76
toothbrush4,village2,2023-04-25,1,111
toothbrush4,village2,2023-04-26,1,64
toothbrush4,village2,2023-04-27,1,105
toothbrush4,village2,2023-04-28,2,103
toothbrush4,village2,2023-04-29,1,89
toothbrush4,village2,2023-04-30,0,0
toothbrush4,village2,2023-05-01,1,90
toothbrush4,village2,2023-05-02,2,156
